,Names,Years,wins,losses
0,Boston Bruins,1990,44,24
1,Buffalo Sabres,1990,31,30
2,Calgary Flames,1990,46,26
3,Chicago Blackhawks,1990,49,23
4,Detroit Red Wings,1990,34,38
5,Edmonton Oilers,1990,37,37
6,Hartford Whalers,1990,31,38
7,Los Angeles Kings,1990,46,24
8,Minnesota North Stars,1990,27,39
9,Montreal Canadiens,1990,39,30
10,New Jersey Devils,1990,32,33
11,New York Islanders,1990,25,45
12,New York Rangers,1990,36,31
13,Philadelphia Flyers,1990,33,37
14,Pittsburgh Penguins,1990,41,33
15,Quebec Nordiques,1990,16,50
16,St. Louis Blues,1990,47,22
17,Toronto Maple Leafs,1990,23,46
18,Vancouver Canucks,1990,28,43
19,Washington Capitals,1990,37,36
20,Winnipeg Jets,1990,26,43
21,Boston Bruins,1991,36,32
22,Buffalo Sabres,1991,31,37
23,Calgary Flames,1991,31,37
24,Chicago Blackhawks,1991,36,29
25,Detroit Red Wings,1991,43,25
26,Edmonton Oilers,1991,36,34
27,Hartford Whalers,1991,26,41
28,Los Angeles Kings,1991,35,31
29,Minnesota North Stars,1991,32,42
30,Montreal Canadiens,1991,41,28
31,New Jersey Devils,1991,38,31
32,New York Islanders,1991,34,35
33,New York Rangers,1991,50,25
34,Philadelphia Flyers,1991,32,37
35,Pittsburgh Penguins,1991,39,32
36,Quebec Nordiques,1991,20,48
37,San Jose Sharks,1991,17,58
38,St. Louis Blues,1991,36,33
39,Toronto Maple Leafs,1991,30,43
40,Vancouver Canucks,1991,42,26
41,Washington Capitals,1991,45,27
42,Winnipeg Jets,1991,33,32
43,Boston Bruins,1992,51,26
44,Buffalo Sabres,1992,38,36
45,Calgary Flames,1992,43,30
46,Chicago Blackhawks,1992,47,25
47,Detroit Red Wings,1992,47,28
48,Edmonton Oilers,1992,26,50
49,Hartford Whalers,1992,26,52
50,Los Angeles Kings,1992,39,35
51,Minnesota North Stars,1992,36,38
52,Montreal Canadiens,1992,48,30
53,New Jersey Devils,1992,40,37
54,New York Islanders,1992,40,37
55,New York Rangers,1992,34,39
56,Ottawa Senators,1992,10,70
57,Philadelphia Flyers,1992,36,37
58,Pittsburgh Penguins,1992,56,21
59,Quebec Nordiques,1992,47,27
60,San Jose Sharks,1992,11,71
61,St. Louis Blues,1992,37,36
62,Tampa Bay Lightning,1992,23,54
63,Toronto Maple Leafs,1992,44,29
64,Vancouver Canucks,1992,46,29
65,Washington Capitals,1992,43,34
66,Winnipeg Jets,1992,40,37
67,Mighty Ducks of Anaheim,1993,33,46
68,Boston Bruins,1993,42,29
69,Buffalo Sabres,1993,43,32
70,Calgary Flames,1993,42,29
71,Chicago Blackhawks,1993,39,36
72,Dallas Stars,1993,42,29
73,Detroit Red Wings,1993,46,30
74,Edmonton Oilers,1993,25,45
